,Crime_Type,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Public_Complaints,Location,Ride_Duration_Minutes,Ride_Fare_INR,Ride_Surge_Pricing_Factor,Driver_Rating,Ride_Cancellation_Status,Weather_Temperature_C,Weather_Visibility_KM,Weather_Humidity_%,Weather_Wind_Speed_KMH,Weather_Condition,Road_Accidents_Reported,Nearby_CCTV_Cameras,Time_of_Day,Num_Police_Stations_Nearby
0,Harassment,1.0,2,1,1,3,Juhu,97,275.0697313489308,2.0,2.1,Cancelled,31.960277732959064,3.283636133318887,69,37,Rainy,4,8,Night,4
1,Burglary,8.0,54,1,0,5,Saket,105,1008.6178507755512,1.2,2.1,Completed,34.39383382737756,1.476427623352197,67,6,Foggy,2,6,Morning,4
2,Fraud,10.0,12,1,1,0,Bandra,6,638.7464927330985,1.0,1.3,Completed,30.661429373906422,5.489575653225708,64,24,Cloudy,2,3,Morning,2
3,Harassment,3.0,40,0,1,3,Lajpat Nagar,52,1000.6844017380008,1.5,1.5,Completed,41.60509247514859,3.77149246768856,98,49,Foggy,2,7,Morning,2
4,Theft,4.0,2,0,1,5,Dwarka,5,1144.4463586054987,1.5,1.9,Completed,32.91725666362788,5.851537584452238,85,26,Rainy,0,0,Night,1
5,Burglary,4.0,41,1,1,9,Connaught Place,63,865.8954076482875,2.0,1.0,Completed,24.85501772358109,4.2804678192160726,64,39,Foggy,3,2,Afternoon,3
6,Fraud,5.0,16,1,0,6,Saket,36,981.5939599295964,1.0,1.2,Completed,39.59554854004722,4.102349695989724,89,30,Cloudy,3,6,Afternoon,3
7,Theft,3.0,30,0,1,9,Connaught Place,92,359.6155005376242,1.2,3.8,Completed,27.134879917610416,9.163824623653868,38,7,Sunny,2,1,Evening,1
8,Theft,9.0,57,1,1,4,Bandra,6,909.4143543285312,1.5,3.5,Completed,28.55571458665312,6.841584583063947,53,45,Sunny,2,7,Morning,4
9,Theft,4.0,47,1,1,2,Juhu,63,717.6877187531112,1.0,4.8,Completed,30.379782640778807,6.862208460627018,56,25,Sunny,2,3,Morning,2
10,Theft,10.0,46,1,0,8,Saket,7,670.6766463579507,1.5,2.6,Completed,21.297464049826623,1.770345875185059,78,33,Sunny,2,3,Afternoon,1
11,Harassment,4.0,52,1,1,9,Karol Bagh,77,,1.5,2.8,Completed,35.28889414082777,4.201810667234383,65,5,Cloudy,3,2,Morning,4
12,Harassment,6.0,36,1,0,7,Juhu,53,500.8398405795095,1.5,1.3,Completed,13.434416548964572,7.746292198151773,82,25,Sunny,4,9,Night,0
13,Harassment,8.0,4,0,1,9,Colaba,92,492.7352604603213,1.2,1.6,Completed,40.409722055702375,5.886008567225389,98,9,Cloudy,3,7,Morning,1
14,Fraud,,11,1,1,0,Lajpat Nagar,80,1064.5743205282788,1.2,3.8,Completed,36.4088213289316,4.873451911011931,21,47,Rainy,2,5,Night,1
15,Fraud,4.0,53,1,1,1,Dwarka,38,858.8096459616845,1.5,1.9,Completed,22.377113068108727,9.741217200124806,57,7,Cloudy,1,8,Evening,4
16,Fraud,4.0,24,1,1,1,Juhu,66,93.4305556773132,1.2,4.1,Completed,17.923758675952133,1.7955039400348054,91,30,Cloudy,4,7,Evening,0
17,Assault,5.0,18,0,1,8,Connaught Place,38,120.36158361436117,1.0,3.8,Cancelled,23.576428093597865,2.0272348648462053,79,48,Rainy,1,9,Afternoon,2
18,Fraud,10.0,27,1,1,5,Juhu,27,876.6725515199287,1.0,4.0,Completed,38.17684021186697,5.850846688328928,94,32,Foggy,0,3,Afternoon,1
19,Harassment,5.0,37,1,1,8,Lajpat Nagar,23,,1.5,3.8,Completed,11.104977759983925,4.349186735145334,48,40,Sunny,2,7,Morning,1
20,Harassment,1.0,2,1,0,7,Juhu,56,113.76782625298692,2.0,3.8,Completed,26.377348991228825,5.066495051364065,79,39,Cloudy,1,8,Evening,1
21,Assault,,15,0,0,5,Dadar,64,785.4500544596647,1.0,3.2,Completed,18.893857450481036,5.70480686590459,88,49,Rainy,2,5,Evening,2
22,Assault,10.0,11,1,1,5,Saket,100,1284.1462944832683,1.2,3.7,Completed,40.62329899720047,1.7109666659231362,56,25,Foggy,2,5,Morning,2
23,Fraud,5.0,27,0,1,5,Andheri,117,56.4495682433024,1.2,3.1,Completed,24.4844550863306,3.0661521040736943,31,27,Cloudy,0,9,Evening,0
24,Burglary,3.0,56,1,1,4,Connaught Place,32,449.9011660226189,1.0,1.8,Completed,34.426441475821434,5.602979744167332,99,6,Rainy,4,8,Evening,0
25,Assault,3.0,49,1,1,0,Saket,94,13838.843166017592,2.0,1.9,Completed,22.526237161660404,2.338764570314481,56,9,Sunny,2,9,Afternoon,3
26,Theft,4.0,48,1,0,5,Dwarka,53,168.13095391777836,1.5,2.6,Completed,21.539488385987877,8.476101514536357,77,7,Sunny,4,8,Evening,3
27,Harassment,,47,1,1,0,Dwarka,49,930.1448923742554,1.0,1.1,Completed,21.405550595920687,7.94313471710069,74,13,Foggy,3,3,Afternoon,2
28,Theft,5.0,23,1,0,7,Bandra,80,785.7034165690241,1.2,4.6,Completed,33.736111390808574,5.897616987972521,40,45,Rainy,0,5,Morning,1
